1508257117 - POWER - 2017-10-17, 16:18:37, 433000000, 434000000, 62500.00, 25088, -13.10, -13.66, -25.50, -11.79, nan, nan, nan, -15.06, -14.07, -14.07, nan, nan, nan, -16.90, nan, -15.80, -15.80
1508257118 - POWER - 2017-10-17, 16:18:38, 433000000, 434000000, 62500.00, 58880, -18.88, -22.02, nan, nan, nan, -15.73, -17.07, -17.46, -15.88, -15.88, -17.12, -17.55, nan, -19.70, nan, nan, nan
1508257119 - POWER - 2017-10-17, 16:18:39, 433000000, 434000000, 62500.00, 58880, -28.45, nan, -15.76, -18.01, -15.10, nan, nan, nan, -24.64, -24.64, nan, nan, -17.40, nan, nan, nan, nan
1508257120 - POWER - 2017-10-17, 16:18:40, 433000000, 434000000, 62500.00, 58880, nan, nan, -16.84, -19.76, -17.56, nan, nan, nan, nan, nan, nan, nan, -19.87, nan, -14.96, nan, nan
1508257121 - POWER - 2017-10-17, 16:18:41, 433000000, 434000000, 62500.00, 58368, nan, -15.69, nan, -21.20, -14.91, nan, nan, nan, -14.96, -14.96, -14.58, -14.51, -17.16, -16.77, -19.08, -16.18, -16.18
1508257122 - POWER - 2017-10-17, 16:18:42, 433000000, 434000000, 62500.00, 58880, nan, -15.38, -21.07, nan, -15.11, -15.00, -22.11, nan, nan, nan, -14.84, nan, -19.59, nan, -16.79, nan, nan
1508257123 - POWER - 2017-10-17, 16:18:43, 433000000, 434000000, 62500.00, 58880, nan, nan, nan, -24.63, -14.77, nan, nan, -14.98, nan, nan, nan, -17.93, -16.61, -21.60, nan, nan, nan
1508257124 - POWER - 2017-10-17, 16:18:44, 433000000, 434000000, 62500.00, 59392, -17.06, -35.75, -18.33, nan, nan, -16.47, nan, -20.72, nan, nan, nan, nan, -21.43, -22.30, -15.10, nan, nan
1508257125 - POWER - 2017-10-17, 16:18:45, 433000000, 434000000, 62500.00, 58880, nan, -16.88, -23.04, -15.62, nan, nan, -15.04, -19.68, nan, nan, nan, nan, nan, nan, nan, -20.52, -20.52
