1508257408 - POWER - 2017-10-17, 16:23:28, 90000000, 91000000, 1000000.00, 2, 8.61, 8.61
1508257408 - POWER - 2017-10-17, 16:23:28, 91000000, 92000000, 1000000.00, 2, 3.02, 3.02
1508257409 - POWER - 2017-10-17, 16:23:29, 90000000, 91000000, 1000000.00, 8, 8.64, 8.64
1508257409 - POWER - 2017-10-17, 16:23:29, 91000000, 92000000, 1000000.00, 8, 3.06, 3.06
1508257410 - POWER - 2017-10-17, 16:23:30, 90000000, 91000000, 1000000.00, 8, 8.74, 8.74
1508257410 - POWER - 2017-10-17, 16:23:30, 91000000, 92000000, 1000000.00, 8, 3.07, 3.07
1508257411 - POWER - 2017-10-17, 16:23:31, 90000000, 91000000, 1000000.00, 8, 9.36, 9.36
1508257411 - POWER - 2017-10-17, 16:23:31, 91000000, 92000000, 1000000.00, 8, 3.66, 3.66
1508257412 - POWER - 2017-10-17, 16:23:32, 90000000, 91000000, 1000000.00, 8, 9.90, 9.90
1508257412 - POWER - 2017-10-17, 16:23:32, 91000000, 92000000, 1000000.00, 8, 4.19, 4.19
1508257413 - POWER - 2017-10-17, 16:23:33, 90000000, 91000000, 1000000.00, 8, 9.71, 9.71
1508257413 - POWER - 2017-10-17, 16:23:33, 91000000, 92000000, 1000000.00, 8, 3.90, 3.90
1508257414 - POWER - 2017-10-17, 16:23:34, 90000000, 91000000, 1000000.00, 7, 10.03, 10.03
1508257414 - POWER - 2017-10-17, 16:23:34, 91000000, 92000000, 1000000.00, 7, 4.31, 4.31
1508257415 - POWER - 2017-10-17, 16:23:35, 90000000, 91000000, 1000000.00, 8, 9.51, 9.51
1508257415 - POWER - 2017-10-17, 16:23:35, 91000000, 92000000, 1000000.00, 8, 3.78, 3.78
1508257416 - POWER - 2017-10-17, 16:23:36, 90000000, 91000000, 1000000.00, 8, 9.11, 9.11
1508257416 - POWER - 2017-10-17, 16:23:36, 91000000, 92000000, 1000000.00, 8, 3.49, 3.49
